360 ONE WAM LIMITED,360ONE,55
3M INDIA LIMITED,3MINDIA,60
AARTI DRUGS LTD.,AARTIDRUGS,55
AARTI INDUSTRIES LTD,AARTIIND,65
AAVAS FINANCIERS LIMITED,AAVAS,60
ABB INDIA LIMITED,ABB,65
ABBOTT INDIA LIMITED,ABBOTINDIA,70
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,65
ADITYA BIRLA FASHION & RT,ABFRL,50
ADITYA BIRLA REAL EST LTD,ABREL,45
ADIT BIRL SUN LIF AMC LTD,ABSLAMC,60
ACC LIMITED,ACC,45
ACCELYA SOLN INDIA LTD,ACCELYA,50
ACTION CONST EQUIP LTD,ACE,50
ARCHEAN CHEMICAL IND LTD,ACI,65
ALLCARGO GATI LIMITED,ACLGATI,55
ADANI ENTERPRISES LIMITED,ADANIENT,35
ADANI PORT & SEZ LTD,ADANIPORTS,35
ADF FOODS LIMITED,ADFFOODS,55
ADVANCED ENZYME TECH LTD,ADVENZYMES,55
AETHER INDUSTRIES LIMITED,AETHER,30
AFFLE (INDIA) LIMITED,AFFLE,60
AGARWAL INDS CORP LTD.,AGARIND,50
AGI GREENPAC LIMITED,AGI,50
AHLUWALIA CONT IND LTD,AHLUCONT,50
AIA ENGINEERING LIMITED,AIAENG,65
AJANTA PHARMA LIMITED,AJANTPHARM,65
AKZO NOBEL INDIA LIMITED,AKZOINDIA,50
ALEMBIC LIMITED,ALEMBICLTD,50
ALIVUS LIFE SCIENCES LTD,ALIVUS,30
ALKEM LABORATORIES LTD.,ALKEM,70
ALKYL AMINES CHEM. LTD,ALKYLAMINE,60
ALLCARGO LOGISTICS LTD,ALLCARGO,55
AMBER ENTERPRISES (I) LTD,AMBER,50
AMBUJA CEMENTS LTD,AMBUJACEM,35
AMI ORGANICS LIMITED,AMIORG,50
AMRUTAJAN HEALTH LTD,AMRUTANJAN,60
ANDHRA PAPER LIMITED,ANDHRAPAP,50
ANDHRA SUGARS LTD,ANDHRSUGAR,55
ANGEL ONE LIMITED,ANGELONE,50
ANUPAM RASAYAN INDIA LTD,ANURAS,60
APAR INDUSTRIES LTD.,APARINDS,50
APCOTEX INDUSTRIES LIMITE,APCOTEXIND,55
APEX FROZEN FOODS LIMITED,APEX,50
APL APOLLO TUBES LTD,APLAPOLLO,60
ALEMBIC PHARMA LTD,APLLTD,60
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,70
APOLLO PIPES LIMITED,APOLLOPIPE,60
APOLLO TYRES LTD,APOLLOTYRE,70
APTECH LIMITED,APTECHT,35
APTUS VALUE HSG FIN I LTD,APTUS,60
ARMAN FIN SERV LTD,ARMANFIN,50
ARVIND LIMITED,ARVIND,40
ARVIND FASHIONS LIMITED,ARVINDFASN,60
ASAHI INDIA GLASS LIMITED,ASAHIINDIA,60
ASHIANA HOUSING LTD,ASHIANA,50
ASHOKA BUILDCON LTD,ASHOKA,60
ASHOK LEYLAND LTD,ASHOKLEY,65
ASIAN PAINTS LIMITED,ASIANPAINT,70
ASTEC LIFESCIENCES LTD,ASTEC,60
ASTER DM HEALTHCARE LTD.,ASTERDM,60
ASTRAL LIMITED,ASTRAL,70
ASTRA MICROWAVE LTD,ASTRAMICRO,55
